CaltechAUTHORS_ID,CaltechAUTHORS_DOI,Related_DOI,Data_ID,Cross_Link,Test_ID
0f32n-bgm37,10.1029/2021gl095227,10.22002/D1.2033,jn6d1-wfj05,No,t8h2f-87s64
nde62-t1r58,10.1029/2021JB022462,10.22002/D1.1970,h6438-cgy98,No,pbgwc-7b016
rwr63-xyt69,10.1029/2021gl096503,10.22002/D1.2135,pyr6e-wt732,No,2kvfz-erc91
r1pva-c8x21,10.1029/2022jb024329,10.22002/D1.20035,wxsas-96g08,No,8tj1d-22780
rb73g-vqz89,10.1016/j.xcrp.2022.100959,10.22002/D1.20057,bfap4-h2m21,No,px5ss-5y916
wr8qq-s8t58,10.1109/WHISPERS.2016.8071774,10.22002/D1.222,k8gnx-7hj46,No,6ffmj-n7192
ynbgx-0tx98,10.1029/2021ms002747,10.22002/D1.1231,meh5c-wy279,No,61shk-rcs26
6gcmj-reb48,10.1038/s41586-022-04749-3,10.22002/D1.2155,y72mq-emt30,No,5jjz9-40b67
vpnng-szs82,10.1126/sciadv.abn9545,10.22002/D1.20048,hend5-jzt61,No,sb743-qp239
1q6gn-mvc46,10.1029/2022ms003105,10.22002/D1.20052,j8mw7-fm491,No,5mdtq-15724
ck6pf-68621,10.1093/gji/ggab407,10.22002/D1.1955,31emd-wmv98,No,33y3z-2te02
d20js-7z640,10.1029/2022gl101715,10.22002/vn6v0-pfr77,vn6v0-pfr77,No,dcy6h-wem15
rsekp-4g847,10.1109/tgrs.2023.3305194,10.22002/D1.1347,8hm1f-w5492,No,9tcpx-vf039
cmvm1-e9379,10.1029/2023gl105205,10.22002/D1.1347,8hm1f-w5492,No,9tcpx-vf039
wkjh4-6nf06,10.1101/2022.03.02.22271724,10.22002/D1.20049,pmm08-6q581,No,rtc14-wmr12
p6mn1-gs660,10.1101/2022.06.17.496478,10.22002/D1.20199,5vng7-8ne78,No,afznk-vbp04
vtef0-x7037,10.1101/2022.07.13.22277113,10.22002/D1.20223,0yw13-j0441,No,szsyt-ytf03
q40ve-64h03,10.1002/essoar.10510937.2,10.22002/D1.20052,j8mw7-fm491,No,5mdtq-15724
4w29e-xpa51,10.1002/essoar.10510458.2,10.22002/D1.1891,n1yye-2z213,No,zeyw2-27p09
e9yy0-v0658,10.1002/essoar.10511838.1,10.22002/D1.20038,e1acg-e0k08,No,3pg72-ddh27
x0cjg-kxg25,10.1101/2022.07.13.22277513,10.22002/D1.20223,0yw13-j0441,No,szsyt-ytf03
jh5g2-fyg97,10.1002/essoar.10512148.1,10.22002/D1.20252,dhfgs-p7319,No,wjhsn-kbv79
fgbgn-2rk49,10.1002/essoar.10512118.2,10.22002/D1.20248,pybpv-w7661,No,wp4x8-1vc62
91hvf-49c47,,10.22002/D1.1438,3ejxg-69q72,No,2ths5-hkw28
yvded-18923,10.1101/2020.07.25.210468,10.22002/D1.1407,fc4k3-75q88,No,c4fh9-f1170
166f3-tj121,,10.22002/D1.1100,dkdt4-e0x94,No,bcn0f-n7z19
nb3f9-s8p96,10.1002/essoar.10504190.1,10.22002/D1.1617,4peqr-t0723,No,npzd5-bzb58
5xkg8-an610,10.1101/762773,10.22002/d1.1276,gye0e-gw976,No,gqpst-s3d05
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1915,653dj-3b761,No,mtzc2-18p79
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1900,82zcr-mxa32,No,n1vb7-m1g75
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1905,cj7ec-8g780,No,j8p30-za980
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1914,5vd8b-sz113,No,8rp1w-qfz76
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1917,2t5tj-e5w45,No,w80kf-hyt30
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1916,0vgd3-9cp11,No,9w2er-n4713
24wrg-rx971,10.1101/2021.05.13.444042,10.22002/D1.1918,5x3vq-z1b96,No,zb2dj-d0f86
2nvtm-7qe34,10.1029/2019je006191,10.22002/d1.1304,dmrkv-3xn63,No,91tsz-cfc02
m07dw-3jq86,10.1038/s41587-019-0372-z,10.22002/D1.1311,a73n8-3pa89,No,dth8s-nba11
n3qyx-kf341,10.1029/2019je006156,10.22002/D1.1299,df548-mhy96,No,a15h1-f1j49
ks7h3-tf644,10.1038/s42005-021-00703-3,10.22002/D1.1858,vp3y4-ef326,No,2f5p2-2e148
8mp48-93523,,10.22002/D1.1315,d8w02-xng39,No,q0346-mn915
a7vwv-mhw66,10.1101/2022.07.10.499405,10.22002/D1.20215,awtz3-tz122,No,xfqva-b4991
h26g5-k0311,10.1029/2018ea000416,10.22002/D1.1211,5ptpj-x8c08,No,7f5x5-pa209
h26g5-k0311,10.1029/2018ea000416,10.22002/D1.1212,3j8a8-bzn05,No,xk40w-p0g08
y47b9-pmn34,10.48550/arXiv.1905.06360,10.22002/D1.1241,fbv6r-hg153,No,cqnnk-chw84
zf2v5-vx810,10.1029/2018JE005706,10.22002/D1.1087,hhzzq-yw058,No,e67v1-3kg31
zf2v5-vx810,10.1029/2018JE005706,10.22002/D1.1085,44km0-er448,No,g867t-x4d04
zf2v5-vx810,10.1029/2018JE005706,10.22002/D1.1086,c8fwc-kvg38,No,c1gj1-hnb74
k6jp7-8js32,10.1029/2019gl086424,10.22002/d1.1317,rdv1n-st737,No,8kgzq-0z165
se7bz-k9a90,10.1029/2019jb018855,10.22002/D1.1293,mtn3h-frk09,No,hrpxj-0tr80
frxqw-qyw74,10.1063/1.5054927,10.22002/D1.305,0t2qn-hvq19,No,f3cwe-hgm53
dzgj9-y8y49,10.3390/rs12213586,10.22002/d1.1182,45st6-jvh02,No,xk1ex-axk10
ge4t4-7e026,10.1029/2019je006298,10.22002/D1.1318,gyvwk-btq07,No,te8rh-sxq88
ge4t4-7e026,10.1029/2019je006298,10.22002/D1.1211,5ptpj-x8c08,No,7f5x5-pa209
ze84b-v1782,10.1101/2020.12.09.20239467,10.22002/D1.1702,24265-gtd53,No,y98md-bp961
d4h00-xf206,10.1029/2022jb025425,10.22002/D1.20252,dhfgs-p7319,No,wjhsn-kbv79
x179p-jhv14,10.7554/elife.85370,10.22002/D1.2157,g3sp0-33085,No,9eh2f-k1a76
ywtpy-nka66,10.1038/s41929-021-00618-w,10.22002/D1.1632,1km87-52j70,No,fdx2t-3rx08
zwfrv-rbn84,10.1038/s41467-021-25443-4,10.22002/D1.2032,jvjkh-d9g50,No,x6gw8-as345
y99cf-fkr11,10.1016/j.icarus.2022.115079,10.22002/D1.20170,3ra81-96y32,No,fddq3-zmn81
ernz6-2xp43,10.1101/2022.03.21.484932,10.22002/D1.20060,hwv5v-m9x76,No,vfz20-ydp76
rxd0x-ag678,10.1029/2020JE006675,10.22002/D1.1617,4peqr-t0723,No,npzd5-bzb58
t2ser-vfe73,10.1029/2020ja027796,10.22002/D1.1333,r35r5-sb884,No,ngxcf-0a955
v84d4-vcs34,10.1038/s41586-020-2872-x,10.22002/D1.1647,jhn25-fsd29,No,24b5z-t4m60
c03z0-nfg11,10.1038/s41598-020-77073-3,10.22002/D1.1407,fc4k3-75q88,No,c4fh9-f1170
4fdtn-y2e21,10.1029/2020je006606,10.22002/D1.1628,d5jt1-wqt82,No,wx24e-5yd65
ct2sc-f7m12,10.1029/2019av000140,10.22002/D1.1347,8hm1f-w5492,No,9tcpx-vf039
rdqe2-hsq97,10.1029/2020jb021369,10.22002/D1.1670,e200b-xsm06,No,4qv0g-7yt28
363j8-nw138,10.1038/s41587-021-00870-2,10.22002/D1.1876,7704n-f6m57,No,3gz1s-d5261
r7rsd-a7a17,,10.22002/D1.2026,51sah-d9r47,No,mn3a1-x3x94
r7rsd-a7a17,,10.22002/D1.2025,p8ppf-7ff93,No,e1acb-n8a94
6f3gb-97h58,10.1126/science.abg2947,10.22002/D1.1976,zpzee-79351,No,px1w1-xqr37
wfg20-4tn76,10.1029/2020tc006210,10.22002/D1.1388,8dhjv-rvf91,No,zwjd2-rw873
n2b9p-8jf71,10.1029/2021JB021886,10.22002/D1.1612,ryqnw-bdf94,No,mzwax-jw720
30s9e-9z096,10.1029/2021jb022676,10.22002/D1.2009,7tp28-jp627,No,bzqfj-f7077
30s9e-9z096,10.1029/2021jb022676,10.22002/D1.2141,dwkqy-hkj69,No,e0zwb-f9s86
30s9e-9z096,10.1029/2021jb022676,10.22002/D1.2142,665w3-pbj51,No,dygfc-38b42
fx63v-hsd80,10.1029/2021gl092598,10.22002/D1.2023,m1r58-kvb98,No,ft45b-8nw98
vfg98-9zt14,10.5194/gmd-14-6309-2021,10.22002/D1.971,8mkmg-c2938,No,3ydw5-6yx19
b0xvf-xn162,10.1038/s41561-021-00706-3,10.22002/D1.1874,3hrqe-5x450,No,7m4ep-06188
b0xvf-xn162,10.1038/s41561-021-00706-3,10.22002/D1.1873,8ydek-yt879,No,m86ym-m3603
08dr4-w6943,10.1029/2021je006828,10.22002/D1.1971,gv4qf-qwa77,No,mm42q-wft65
yzjs7-1cv55,10.1016/j.jsb.2022.107860,10.22002/D1.2096,2vtv3-pp862,No,tyest-mem06
yzjs7-1cv55,10.1016/j.jsb.2022.107860,10.22002/D1.2099,tz8jq-0mk77,No,yypym-x5693
yzjs7-1cv55,10.1016/j.jsb.2022.107860,10.22002/D1.2103,kfkqj-q6557,No,4khh3-dpp37
0mmmp-9pz59,10.1029/2023jb026488,10.22002/D1.20248,pybpv-w7661,No,wp4x8-1vc62
phbx7-m8a69,10.1088/2515-7655/ac817e,10.22002/D1.20061,q9zpw-g8s64,No,skmrx-14a11
r5hzq-dzy83,10.2110/jsr.2022.032,10.22002/D1.20044,hzwqz-5wr07,No,0y3zw-g1n05
sar53-81n52,10.1016/j.epsl.2023.118277,10.22002/D1.1619,s6ey4-qpm11,No,ac32t-mff72
sar53-81n52,10.1016/j.epsl.2023.118277,10.22002/D1.1620,2znta-5t680,No,tka8c-bjp40
y5gpx-saw63,10.5194/amt-17-5861-2024,10.14291/TCCON.GGG2014,rhrv4-mcp55,No,jn2dg-2h888
knwz1-dvb78,,10.14291/tccon.ggg2014.pasadena01.r1/1182415,tb378-y1a55,No,8z4qd-mhz12
dm3mv-q1b76,10.1038/s41524-019-0216-x,10.22002/D1.1256,yrn11-jb916,No,t899g-xww46
